,,,All features released after March 4th 2024 are not available on legacy plans,,,,,,,,,,,,NEW (ALL PLATFORMS),,,,,,,New Shopify,,,,New SelfServe,,Salla Pricing,,,
,Section,Type,Feature,Notes,Release Date,Benefit,Medium,Medium Sub-Category,Benefit Tier,Use Case,Scalable,Transactional Report Available,Event Data Collected,Needed Now?,Kickstarter,Basic,Growth,Master,Provided on Legacy Plans?,Transition Action,Seed Data Change Needed,Free,Starter,Pro,Guru,Growth,Enterprise,Free (الباقه المجانية),Starter (الباقه البرونزية),Pro (الباقه الفضية),Guru (الباقه الذهبية)
,listing page,,,,,,,,,,,,,,,,,,,,,https://apps.shopify.com/gameball,,,,,,https://apps.salla.sa/ar/app/1407572580,,,
1,Price (monthly),,60,,,,,,,,,,,,$0,$29.99,$34.99,$549.99,,,,100 || $0.0,"200   || $19.0
300   || $34.0
500   || $64.0
1000 || $119.0","1000 || $159.0
1500 ||  $204.0
2000 || $249.0
3000 || $339.0
4000 || $429.0
5000 || $519.0
6000 || $609.0
7000 || $699.0
8000 || $779.0
9000 || $859.0
10000 || $939.0","10000    || $999.0
15000    || $1,399.0
20000    || $1,799.0
25000    || $2,149.0
30000    || $2,499.0
40000    || $2,999.0
50000    || $3,374.0
75,000   || $4,554.0
100,000 || $5,465.0","2,000   ||  $189       
3,000   ||  $264 Default 
5,000   ||  $413
10,000 ||  $777    
15,000 ||  $1,107
20,000 ||  $1,416  
25,000 ||  $1,717
30,000 ||  $1,999",Customized,100 || 0.0 SAR,"200   ||  49 SAR (default)
400   ||  114 SAR
600   ||  179 SAR
800   ||  244 SAR
1,000 ||  299 SAR","1,000  ||  399 SAR (default)
2,000  ||  599 SAR
3,000  ||  799 SAR
4,000  ||  999 SAR
5,000  ||  1,199 SAR
6,000  ||  1,399 SAR
7,000  ||  1,599 SAR
8,000  ||  1,799 SAR
9,000  ||  1,999 SAR
10,000 ||  2,199 SAR","10,000  ||  2,599 SAR (default)
15,000  ||  3,699 SAR
20,000  ||  4,699 SAR
25,000  ||  5,599 SAR
30,000  ||  6,499 SAR
40,000  ||  7,799 SAR
50,000  ||  8,799 SAR
75,000  ||  11,899 SAR
100,000 ||  14,299 SAR
"
,Extra Charges Cap (monthly plans) If platform requires cap of overages,,,,,,,,,,,,,,,,,,,,,$10.00,"$10.0
$20.0
$35.0
$60.0","$60.0
$60.0
$90.0
$90.0
$90.0
$90.0
$90.0
$90.0
$90.0
$90.0
$400.0","$400.0
$400.0
$400.0
$400.0
$600.0
$600.0
$600.0
$1,200.0
$1,200.0",NA,NA,NA,NA,NA,NA
,Price (annual),,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cap (annual plans),,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Value metric ,,,,,,,,,,,,,,,,,,,,,MRC,MRC,MRC,MRC,MRC,MRC,MRC,MRC,MRC,MRC
,Extra Charges,,For each extra active customer,,,,,,,,,,,,$0.15,$0.12,$0.09,$0.05,,,,no overages on default free plan | $0.25 if the user downgrades to free,$0.15,$0.12,$0.10,$0.085,Customized,not charged atm,not charged atm,not charged atm,not charged atm
3,Trial days,,,,,,,,,,,,,,No,No,Yes,Yes,,,,N/A,7 days reverse trial,N/A,N/A,14 days normal trial,N/A,N/A,N/A,N/A,N/A
4,Home,Page access,Home,,,Productivity,Data Presentation,, Basic,,,,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
